id_componente,nivel,tipo_componente,codigo,nome,departamento,codigo_antigo,ch_total,cr_total,ch_aula,ch_laboratorio,ch_estagio,ch_dedicada_docente,ch_ead,equivalencia,pre_requisito,co_requisito,ementa,bibliografia,curso,ativo,num_unidades,tem_orientador,aceita_subturma,permite_horario_flexivel,permite_horario_docente_flexivel,conteudo_variavel,eminentemente_pratica
"21758","G","DISCIPLINA","DAA0001","DISPENSA MATRICULA I","CAA","800001","0","0","0","0","0","0","0",,,,,,,"t","3","f","f","f","f","f","f"
"21759","G","DISCIPLINA","DAA0002","DISPENSA MATRICULA II","CAA","800002","0","0","0","0","0","0","0",,,,,,,"t","3","f","f","f","f","f","f"
"21760","G","DISCIPLINA","DAA0003","DISPENSA MATRICULA III","CAA","800003","0","0","0","0","0","0","0",,,,,,,"t","3","f","f","f","f","f","f"
"21761","G","DISCIPLINA","DAA0004","DISPENSA MATRICULA IV","CAA","800004","0","0","0","0","0","0","0",,,,,,,"t","3","f","f","f","f","f","f"
"21762","G","DISCIPLINA","DAA0005","RESERVA DE LOCAL (HORARIOS)","CAA","900000","0","0","0","0","0","0","0",,,,,,,"t","3","f","f","f","f","f","f"
"21763","G","ATIVIDADES","DAA0006","MONITORIA I","CAA","900001","30","2","0","30","0","0","0",,,,"Componente referente ao exercício de monitoria durante um semestre letivo, de forma remunerada ou voluntária, no Programa de Monitoria da UFS. A monitoria é uma atividade didático-pedagógica vinculada aos cursos presenciais de Graduação que visa contribuir para o aperfeiçoamento do processo de formação discente e a melhoria da qualidade do ensino. O exercício e integralização da Monitoria são regulamentados pelas Normas do Sistema Acadêmico e resolução específica para o programa.",,,"t","2","f","f","f","f","f","f"
"21764","G","ATIVIDADES","DAA0007","MONITORIA II","CAA","900002","30","2","30","0","0","0","0",,,,"Componente referente ao exercício de monitoria durante um semestre letivo, de forma remunerada ou voluntária, no Programa de Monitoria da UFS. A monitoria é uma atividade didático-pedagógica vinculada aos cursos presenciais de Graduação que visa contribuir para o aperfeiçoamento do processo de formação discente e a melhoria da qualidade do ensino. O exercício e integralização da Monitoria são regulamentados pelas Normas do Sistema Acadêmico e resolução específica para o programa.",,,"t","2","f","f","f","f","f","f"
"21765","G","ATIVIDADES","DAA0008","MONITORIA III","CAA","900003","30","2","30","0","0","0","0",,,,"Componente referente ao exercício de monitoria durante um semestre letivo, de forma remunerada ou voluntária, no Programa de Monitoria da UFS. A monitoria é uma atividade didático-pedagógica vinculada aos cursos presenciais de Graduação que visa contribuir para o aperfeiçoamento do processo de formação discente e a melhoria da qualidade do ensino. O exercício e integralização da Monitoria são regulamentados pelas Normas do Sistema Acadêmico e resolução específica para o programa.",,,"t","2","f","f","f","f","f","f"
"21766","G","ATIVIDADES","DAA0009","MONITORIA IV","CAA","900004","30","2","30","0","0","0","0",,,,"Componente referente ao exercício de monitoria durante um semestre letivo, de forma remunerada ou voluntária, no Programa de Monitoria da UFS. A monitoria é uma atividade didático-pedagógica vinculada aos cursos presenciais de Graduação que visa contribuir para o aperfeiçoamento do processo de formação discente e a melhoria da qualidade do ensino. O exercício e integralização da Monitoria são regulamentados pelas Normas do Sistema Acadêmico e resolução específica para o programa.",,,"t","2","f","f","f","f","f","f"
"21767","G","DISCIPLINA","DAA0010","LINGUA PORTUGUESA I","CAA","900011","60","4","60","0","0","0","0",,,,,,,"t","3","f","f","f","f","f","f"
"21769","G","ATIVIDADES","DAA0012","ATIVIDADES COMPLEMENTARES I","CAA","900101","0","0","15","0","0","0","0",,,,,,,"t","3","f","f","f","f","f","f"
"21778","G","ATIVIDADES","DAA0021","ATIVIDADES COMPLEMENTARES X","CAA","900110","0","0","0","0","0","0","0",,,,,,,"t","3","f","f","f","f","f","f"
"22267","G","ATIVIDADES","DAA0023","ATIVIDADES COMPLEMENTARES I","CAA","900101","15","1","15","0","0","0","0",,,,,,,"t","3","f","f","f","f","f","f"
"22268","G","ATIVIDADES","DAA0024","ATIVIDADES COMPLEMENTARES I","CAA","900101","30","2","30","0","0","0","0",,,,,,,"t","3","f","f","f","f","f","f"
"22269","G","ATIVIDADES","DAA0025","ATIVIDADES COMPLEMENTARES I","CAA","900101","45","3","45","0","0","0","0",,,,,,,"t","3","f","f","f","f","f","f"
"22270","G","ATIVIDADES","DAA0026","ATIVIDADES COMPLEMENTARES I","CAA","900101","60","4","60","0","0","0","0",,,,,,,"t","3","f","f","f","f","f","f"
"22271","G","ATIVIDADES","DAA0027","ATIVIDADES COMPLEMENTARES I","CAA","900101","75","5","75","0","0","0","0",,,,,,,"t","3","f","f","f","f","f","f"
"22272","G","ATIVIDADES","DAA0028","ATIVIDADES COMPLEMENTARES I","CAA","900101","90","6","90","0","0","0","0",,,,,,,"t","3","f","f","f","f","f","f"
"22273","G","ATIVIDADES","DAA0029","ATIVIDADES COMPLEMENTARES I","CAA","900101","105","7","105","0","0","0","0",,,,,,,"t","3","f","f","f","f","f","f"
"22274","G","ATIVIDADES","DAA0030","ATIVIDADES COMPLEMENTARES I","CAA","900101","120","8","120","0","0","0","0",,,,,,,"t","3","f","f","f","f","f","f"
"22275","G","ATIVIDADES","DAA0031","ATIVIDADES COMPLEMENTARES I","CAA","900101","135","9","135","0","0","0","0",,,,,,,"t","3","f","f","f","f","f","f"
"22276","G","ATIVIDADES","DAA0032","ATIVIDADES COMPLEMENTARES I","CAA","900101","150","10","150","0","0","0","0",,,,,,,"t","3","f","f","f","f","f","f"
